,UserID,Buy_ticket,Yearly_avg_view_on_travel_page,preferred_device,total_likes_on_outstation_checkin_given,yearly_avg_Outstation_checkins,member_in_family,preferred_location_type,Yearly_avg_comment_on_travel_page,total_likes_on_outofstation_checkin_received,week_since_last_outstation_checkin,following_company_page,montly_avg_comment_on_company_page,working_flag,travelling_network_rating,number_of_adults,Daily_Avg_mins_spend_on_traveling_page
1445,1001446,No,307.0,Mobile,20370.0,28,4,Financial,60.0,13570.0,0.0,No,23.0,Yes,3.0,1.0,21.0
1446,1001447,No,255.0,Mobile,24640.0,28,3,Entertainment,95.0,6712.0,1.0,No,21.0,Yes,4.0,2.0,8.0
1447,1001448,No,270.0,Mobile,10535.0,15,4,Entertainment,88.0,5406.0,1.0,No,24.0,Yes,1.0,1.0,15.0
1448,1001449,No,307.0,Mobile,32550.0,1,3,Financial,57.0,8938.0,2.0,No,11.0,No,3.0,1.0,14.0
1449,1001450,No,240.0,Mobile,18515.0,1,3,Entertainment,78.0,2439.0,1.0,No,14.0,No,4.0,0.0,4.0
1450,1001451,No,262.0,Mobile,40110.0,26,4,Financial,31.0,8837.0,1.0,Yes,16.0,No,3.0,0.0,9.0
1451,1001452,No,285.0,Mobile,12075.0,10,2,Financial,100.0,5343.0,1.0,No,11.0,No,3.0,1.0,10.0
1452,1001453,Yes,375.0,Mobile,30730.0,1,4,Financial,94.0,6728.0,7.0,No,12.0,No,4.0,2.0,12.0
1453,1001454,No,270.0,Mobile,39200.0,11,4,Entertainment,100.0,6652.0,4.0,No,13.0,No,1.0,1.0,8.0
1455,1001456,No,300.0,Mobile,46270.0,1,4,Financial,52.0,2809.0,2.0,No,14.0,No,4.0,0.0,8.0
1456,1001457,No,262.0,Mobile,41965.0,18,4,Financial,80.0,5689.0,1.0,Yes,14.0,No,4.0,2.0,10.0
1457,1001458,No,300.0,Mobile,41790.0,1,4,Medical,98.0,2001.0,2.0,No,14.0,No,2.0,3.0,20.0
1458,1001459,No,262.0,Mobile,10045.0,1,4,Financial,62.0,2977.0,1.0,No,12.0,No,4.0,1.0,4.0
1460,1001461,No,217.0,Mobile,16380.0,28,4,Medical,73.0,3785.0,1.0,No,14.0,No,2.0,0.0,5.0
1461,1001462,Yes,375.0,Mobile,14350.0,28,3,Entertainment,39.0,10854.0,4.0,Yes,13.0,No,2.0,1.0,20.0
1462,1001463,No,292.0,Mobile,25270.0,24,1,Entertainment,60.0,12031.0,0.0,No,11.0,No,1.0,1.0,21.0
1463,1001464,No,232.0,Mobile,11375.0,1,3,Medical,74.0,9936.0,0.0,No,19.0,No,2.0,0.0,10.0
1464,1001465,No,195.0,Mobile,40845.0,1,3,Other,3.0,2966.0,0.0,No,18.0,No,4.0,0.0,5.0
1467,1001468,No,202.0,Mobile,5425.0,1,3,Financial,87.0,6142.0,1.0,Yes,20.0,Yes,2.0,1.0,6.0
1468,1001469,No,367.0,Mobile,35805.0,1,3,Medical,63.0,5390.0,2.0,No,14.0,No,4.0,0.0,17.0
1469,1001470,No,255.0,Mobile,21980.0,1,3,Medical,82.0,4404.0,2.0,No,12.0,No,1.0,0.0,6.0
1470,1001471,Yes,307.0,Mobile,38570.0,1,2,Financial,94.0,5993.0,8.0,Yes,11.0,No,1.0,0.0,8.0
1471,1001472,No,367.0,Mobile,9765.0,1,1,Financial,61.0,5130.0,1.0,No,23.0,Yes,4.0,1.0,10.0
1472,1001473,Yes,277.0,Mobile,48055.0,1,2,Other,92.0,2090.0,6.0,Yes,15.0,No,2.0,0.0,7.0
1474,1001475,No,202.0,Mobile,20685.0,1,1,Medical,40.0,3468.0,9.0,No,12.0,No,4.0,1.0,6.0
1475,1001476,No,240.0,Mobile,35175.0,1,2,Financial,79.0,3068.0,0.0,No,13.0,No,3.0,0.0,8.0
1479,1001480,No,270.0,Mobile,45465.0,27,3,Medical,94.0,5237.0,6.0,No,13.0,No,2.0,2.0,17.0
1480,1001481,No,262.0,Mobile,28315.0,16,3,Medical,84.0,2426.0,0.0,No,13.0,No,3.0,1.0,6.0
1481,1001482,No,217.0,Mobile,5355.0,15,2,Financial,49.0,4193.0,0.0,Yes,12.0,No,4.0,0.0,10.0
1482,1001483,No,232.0,Mobile,23450.0,26,1,Financial,31.0,2911.0,1.0,No,17.0,No,4.0,1.0,5.0
1483,1001484,No,255.0,Mobile,47110.0,19,2,Medical,93.0,2661.0,0.0,No,11.0,No,3.0,1.0,3.0
1484,1001485,Yes,210.0,Mobile,3605.0,24,3,Financial,50.0,2028.0,5.0,Yes,14.0,No,2.0,0.0,6.0
1485,1001486,No,217.0,Mobile,48615.0,21,4,Financial,51.0,9980.0,1.0,No,11.0,No,3.0,1.0,10.0
1489,1001490,No,285.0,Mobile,12985.0,1,3,Financial,45.0,3944.0,5.0,Yes,11.0,No,3.0,0.0,6.0
1490,1001491,No,180.0,Mobile,23555.0,11,2,Other,96.0,4011.0,0.0,No,18.0,No,4.0,1.0,5.0
1491,1001492,Yes,270.0,Mobile,42630.0,1,4,Financial,82.0,3407.0,7.0,No,23.0,Yes,2.0,0.0,10.0
1492,1001493,No,255.0,Mobile,14665.0,1,4,Financial,53.0,11994.0,0.0,No,11.0,No,3.0,0.0,13.0
1493,1001494,No,157.0,Mobile,13685.0,15,2,Financial,96.0,1232.0,1.0,No,14.0,No,4.0,0.0,0.0
1494,1001495,Yes,255.0,Mobile,24465.0,1,1,Medical,83.0,2960.0,2.0,No,11.0,No,3.0,0.0,8.0
1495,1001496,No,397.0,Mobile,44870.0,1,3,Other,58.0,16575.125,4.0,No,11.0,No,4.0,1.0,26.0
1496,1001497,Yes,240.0,Mobile,39375.0,16,1,Financial,72.0,3919.0,1.0,Yes,22.0,Yes,2.0,0.0,10.0
1498,1001499,No,330.0,Mobile,16695.0,1,4,Medical,42.0,10248.0,3.0,No,14.0,No,4.0,1.0,24.0
1499,1001500,No,345.0,Mobile,24675.0,1,4,Entertainment,83.0,16575.125,3.0,No,12.0,No,4.0,0.0,22.0
1501,1001502,No,330.0,Mobile,51065.0,10,4,Other,41.0,6465.0,2.0,Yes,13.0,No,4.0,0.0,9.0
1502,1001503,No,225.0,Mobile,4375.0,1,2,Medical,83.0,2206.0,1.0,No,13.0,No,1.0,0.0,10.0
1503,1001504,Yes,292.0,Mobile,31325.0,1,3,Entertainment,56.0,2086.0,3.0,No,14.0,No,3.0,1.0,19.0
1504,1001505,Yes,180.0,Mobile,28455.0,1,3,Medical,61.0,2293.0,2.0,Yes,16.0,No,1.0,1.0,6.0
1505,1001506,No,322.0,Mobile,44555.0,1,2,Medical,72.0,2645.0,1.0,No,12.0,No,4.0,2.0,6.0
1506,1001507,Yes,375.0,Mobile,30415.0,1,2,Entertainment,86.0,2683.0,1.0,Yes,14.0,No,3.0,0.0,3.0
1507,1001508,No,262.0,Mobile,31150.0,1,3,Entertainment,97.0,2014.0,1.0,No,13.0,No,1.0,0.0,2.0
1508,1001509,No,270.0,Mobile,29820.0,1,4,Financial,82.0,3419.0,9.0,Yes,14.0,No,4.0,1.0,6.0
1509,1001510,No,247.0,Mobile,39935.0,1,3,Financial,42.0,5376.0,2.0,No,19.0,No,1.0,2.0,10.0
1510,1001511,No,262.0,Mobile,16240.0,1,2,Other,75.0,1951.0,1.0,No,12.0,No,3.0,1.0,1.0
1511,1001512,No,202.0,Mobile,43400.0,1,4,Financial,33.0,2341.0,1.0,No,13.0,No,4.0,1.0,1.0
1512,1001513,Yes,195.0,Mobile,47495.0,25,3,Financial,48.0,2293.0,1.0,No,12.0,No,3.0,0.0,1.0
1515,1001516,Yes,307.0,Mobile,47600.0,12,3,Entertainment,49.0,16575.125,1.0,No,12.0,No,4.0,0.0,23.0
1516,1001517,No,255.0,Mobile,37275.0,23,4,Entertainment,72.0,4568.0,0.0,No,20.0,Yes,3.0,0.0,10.0
1518,1001519,No,345.0,Mobile,42385.0,1,4,Entertainment,98.0,5772.0,4.0,Yes,21.0,Yes,3.0,0.0,14.0
1520,1001521,Yes,360.0,Mobile,21910.0,1,2,Financial,98.0,5381.0,9.0,Yes,13.0,No,4.0,0.0,23.0
1523,1001524,No,262.0,Mobile,38395.0,11,2,Medical,79.0,9884.0,2.0,Yes,13.0,No,3.0,1.0,10.0
1524,1001525,No,195.0,Mobile,50505.0,23,3,Entertainment,47.0,4157.0,7.0,Yes,19.0,No,3.0,1.0,5.0
1525,1001526,No,247.0,Mobile,18025.0,1,2,Financial,98.0,13458.0,1.0,Yes,12.0,No,3.0,0.0,15.0
1526,1001527,No,262.0,Mobile,29855.0,18,5,Financial,71.0,9069.0,1.0,No,22.0,Yes,4.0,1.0,9.0
1527,1001528,No,262.0,Mobile,39970.0,23,4,Medical,3.0,4014.0,3.0,Yes,15.0,No,3.0,1.0,4.0
1528,1001529,No,232.0,Mobile,22925.0,1,4,Financial,48.0,5915.0,3.0,No,22.0,Yes,4.0,1.0,10.0
1529,1001530,No,277.0,Mobile,39025.0,1,4,Financial,51.0,5993.0,1.0,No,18.0,No,3.0,1.0,7.0
1530,1001531,No,240.0,Mobile,14945.0,1,3,Medical,33.0,6162.0,1.0,Yes,22.0,Yes,2.0,1.0,9.0
1531,1001532,No,285.0,Mobile,22855.0,29,5,Financial,50.0,2406.0,1.0,No,11.0,No,4.0,0.0,10.0
1532,1001533,No,375.0,Mobile,34615.0,1,2,Medical,43.0,16575.125,5.0,Yes,12.0,No,4.0,1.0,29.0
1534,1001535,No,270.0,Mobile,42805.0,1,3,Entertainment,59.0,10096.0,1.0,No,13.0,No,2.0,3.0,17.0
1535,1001536,No,412.0,Mobile,29260.0,1,3,Medical,33.0,14756.0,2.0,Yes,14.0,No,3.0,3.0,21.0
1538,1001539,No,262.0,Mobile,23240.0,1,3,Medical,79.0,2194.0,4.0,No,13.0,No,4.0,1.0,5.0
1539,1001540,Yes,270.0,Mobile,11130.0,1,3,Medical,79.0,3388.0,0.0,Yes,17.0,No,1.0,1.0,2.0
1541,1001542,No,217.0,Mobile,46480.0,1,3,Financial,76.0,2703.0,0.0,No,23.0,Yes,4.0,1.0,6.0
1542,1001543,No,232.0,Mobile,37870.0,1,4,Medical,87.0,2501.0,1.0,No,17.0,No,2.0,0.0,1.0
1543,1001544,No,240.0,Mobile,19180.0,1,3,Financial,66.0,6220.0,1.0,No,17.0,No,2.0,2.0,10.0
1544,1001545,No,270.0,Mobile,4620.0,1,3,Financial,55.0,3038.0,3.0,No,12.0,No,2.0,0.0,5.0
1545,1001546,No,232.0,Mobile,26110.0,1,4,Financial,61.0,4424.0,1.0,No,23.0,Yes,4.0,0.0,11.0
1546,1001547,No,262.0,Mobile,27160.0,1,4,Entertainment,32.0,4312.0,0.0,No,14.0,No,2.0,0.0,16.0
1548,1001549,No,277.0,Mobile,13895.0,1,4,Medical,3.0,13664.0,4.0,No,13.0,No,1.0,0.0,16.0
1549,1001550,No,345.0,Mobile,33075.0,1,2,Medical,80.0,5021.0,8.0,Yes,22.0,Yes,4.0,1.0,16.0
1550,1001551,No,225.0,Mobile,29820.0,1,1,Financial,55.0,5126.0,1.0,Yes,12.0,No,3.0,2.0,10.0
1551,1001552,No,262.0,Mobile,42490.0,1,3,Medical,3.0,2859.0,1.0,No,18.0,No,1.0,0.0,6.0
1552,1001553,No,412.0,Mobile,3885.0,1,2,Financial,70.0,10239.0,3.0,No,14.0,No,4.0,1.0,24.0
1553,1001554,No,285.0,Mobile,20055.0,1,3,Medical,79.0,5329.0,7.0,Yes,12.0,No,4.0,3.0,17.0
1554,1001555,No,255.0,Mobile,40355.0,1,2,Medical,94.0,4325.0,1.0,No,15.0,No,3.0,0.0,5.0
1557,1001558,No,382.0,Mobile,15120.0,1,4,Financial,96.0,2075.0,3.0,No,23.0,Yes,2.0,2.0,10.0
1558,1001559,No,225.0,Mobile,10080.0,1,3,Financial,99.0,4152.0,1.0,No,19.0,No,1.0,3.0,11.0
1559,1001560,Yes,345.0,Mobile,23415.0,1,2,Medical,64.0,9619.0,1.0,No,16.0,No,4.0,0.0,9.0
1561,1001562,No,382.0,Mobile,22120.0,21,4,Entertainment,71.0,5441.0,0.0,Yes,22.0,Yes,4.0,0.0,11.0
1562,1001563,No,225.0,Mobile,46690.0,1,2,Medical,63.0,5209.0,1.0,Yes,12.0,No,2.0,3.0,11.0
1563,1001564,No,345.0,Mobile,22330.0,1,3,Medical,40.0,10673.0,2.0,Yes,13.0,No,3.0,1.0,21.0
1564,1001565,No,240.0,Mobile,38255.0,1,4,Medical,87.0,5010.0,1.0,No,16.0,No,1.0,0.0,12.0
1565,1001566,No,405.0,Mobile,42595.0,1,4,Entertainment,60.0,13549.0,9.0,No,12.0,No,1.0,1.0,16.0
1566,1001567,No,180.0,Mobile,47355.0,1,2,Other,33.0,4999.0,0.0,No,21.0,Yes,1.0,1.0,4.0
1568,1001569,No,435.0,Mobile,23870.0,10,4,Medical,37.0,13872.0,0.0,No,13.0,No,3.0,0.0,33.0
1570,1001571,Yes,277.0,Mobile,28245.0,1,4,Other,63.0,2073.0,4.0,Yes,22.0,Yes,4.0,0.0,7.0
1571,1001572,No,240.0,Mobile,28945.0,1,1,Financial,71.0,2956.0,1.0,No,13.0,No,4.0,0.0,1.0
1572,1001573,Yes,150.0,Mobile,30485.0,1,3,Financial,66.0,2926.0,1.0,Yes,18.0,No,2.0,0.0,1.0
1573,1001574,No,255.0,Mobile,23275.0,1,4,Other,41.0,4809.0,1.0,No,14.0,No,3.0,0.0,16.0
1574,1001575,No,277.0,Mobile,36400.0,1,2,Financial,100.0,5163.0,5.0,No,14.0,No,4.0,1.0,17.0
1576,1001577,No,375.0,Mobile,39025.0,1,3,Financial,73.0,16575.125,3.0,Yes,19.0,No,1.0,0.0,28.0
1577,1001578,Yes,187.0,Mobile,8400.0,1,3,Entertainment,46.0,5744.0,1.0,Yes,11.0,No,4.0,0.0,6.0
1578,1001579,No,187.0,Mobile,44800.0,1,1,Medical,64.0,2889.0,1.0,No,11.0,No,3.0,2.0,2.0
1579,1001580,No,165.0,Mobile,18690.0,15,3,Medical,59.0,2871.0,1.0,No,15.0,No,3.0,0.0,1.0
1580,1001581,No,382.0,Mobile,50960.0,1,4,Medical,3.0,7484.0,3.0,No,20.0,Yes,3.0,0.0,23.0
1581,1001582,Yes,255.0,Mobile,23030.0,1,3,Financial,66.0,6074.0,1.0,Yes,24.0,Yes,4.0,0.0,9.0
1582,1001583,No,405.0,Mobile,4970.0,26,3,Other,3.0,16575.125,2.0,Yes,12.0,No,3.0,0.0,23.0
1583,1001584,No,180.0,Mobile,39445.0,18,1,Financial,52.0,2774.0,0.0,No,12.0,No,3.0,1.0,6.0
1585,1001586,No,277.0,Mobile,41615.0,1,3,Financial,87.0,7428.0,2.0,No,12.0,No,1.0,0.0,12.0
1586,1001587,No,255.0,Mobile,47390.0,1,3,Medical,45.0,11631.0,2.0,No,12.0,No,4.0,0.0,14.0
1587,1001588,No,270.0,Mobile,51345.0,11,2,Entertainment,92.0,9738.0,0.0,No,14.0,No,3.0,1.0,10.0
1588,1001589,No,270.0,Mobile,32270.0,1,2,Financial,39.0,2835.0,5.0,No,22.0,Yes,1.0,1.0,7.0
1589,1001590,No,322.0,Mobile,13790.0,26,2,Financial,92.0,16575.125,1.0,Yes,12.0,No,4.0,2.0,25.0
1590,1001591,No,225.0,Mobile,45920.0,23,3,Financial,96.0,2613.0,1.0,No,25.0,Yes,3.0,3.0,10.0
1591,1001592,No,247.0,Mobile,26250.0,22,2,Entertainment,95.0,6146.0,0.0,No,13.0,No,1.0,1.0,8.0
1593,1001594,No,382.0,Mobile,23940.0,1,3,Financial,51.0,16575.125,7.0,No,13.0,No,3.0,0.0,23.0
1594,1001595,Yes,232.0,Mobile,8715.0,1,4,Financial,76.0,6172.0,4.0,Yes,18.0,No,2.0,0.0,12.0
1595,1001596,No,195.0,Mobile,29435.0,1,3,Other,46.0,2368.0,1.0,No,19.0,No,3.0,0.0,5.0
1596,1001597,Yes,435.0,Mobile,5145.0,23,4,Medical,94.0,10312.0,1.0,No,12.0,No,4.0,1.0,33.0
1598,1001599,No,165.0,Mobile,20790.0,1,1,Entertainment,100.0,2523.0,0.0,No,14.0,No,3.0,1.0,3.0
1599,1001600,No,367.0,Mobile,16450.0,20,4,Medical,96.0,6567.0,1.0,No,14.0,No,3.0,0.0,16.0
1600,1001601,No,322.0,Mobile,33495.0,28,3,Medical,72.0,4739.0,4.0,No,12.0,No,4.0,0.0,18.0
1601,1001602,No,375.0,Mobile,28315.0,12,3,Entertainment,77.0,9208.0,4.0,No,11.0,No,4.0,0.0,16.0
1602,1001603,Yes,232.0,Mobile,18970.0,20,3,Financial,71.0,4559.0,3.0,Yes,11.0,No,3.0,1.0,4.0
1603,1001604,No,307.0,Mobile,28070.0,1,1,Financial,96.0,8189.0,3.0,Yes,13.0,No,3.0,1.0,12.0
1604,1001605,No,195.0,Mobile,47425.0,25,1,Financial,61.0,2942.0,1.0,No,23.0,Yes,4.0,1.0,8.0
1605,1001606,No,270.0,Mobile,7560.0,1,2,Medical,84.0,4941.0,6.0,No,20.0,Yes,4.0,2.0,7.0
1606,1001607,Yes,382.0,Mobile,40250.0,1,4,Financial,53.0,10650.0,2.0,No,15.0,No,4.0,0.0,18.0
1609,1001610,No,225.0,Mobile,43400.0,1,3,Other,48.0,6347.0,0.0,Yes,19.0,No,4.0,0.0,12.0
1610,1001611,Yes,240.0,Mobile,36155.0,1,3,Medical,41.0,4200.0,7.0,No,22.0,Yes,1.0,0.0,10.0
1612,1001613,No,285.0,Mobile,12740.0,1,5,Entertainment,32.0,4317.0,3.0,Yes,20.0,Yes,2.0,0.0,19.0
1613,1001614,No,225.0,Mobile,15330.0,18,3,Financial,75.0,2632.0,1.0,No,14.0,No,3.0,0.0,5.0
1614,1001615,No,240.0,Mobile,24115.0,1,2,Medical,35.0,4668.0,0.0,No,17.0,No,4.0,3.0,9.0
1615,1001616,No,225.0,Mobile,7035.0,1,3,Entertainment,84.0,3204.0,5.0,No,14.0,No,4.0,1.0,8.0
1616,1001617,No,225.0,Mobile,49945.0,1,1,Medical,35.0,2720.0,0.0,No,13.0,No,4.0,0.0,6.0
1622,1001623,No,397.0,Mobile,50260.0,1,2,Entertainment,34.0,2306.0,2.0,Yes,20.0,Yes,4.0,1.0,13.0
1624,1001625,No,240.0,Mobile,33845.0,1,3,Entertainment,43.0,8998.0,1.0,No,14.0,No,4.0,0.0,9.0
1625,1001626,No,217.0,Mobile,52360.0,1,1,Entertainment,41.0,4319.0,1.0,No,13.0,No,1.0,1.0,10.0
1626,1001627,No,382.0,Mobile,40915.0,1,4,Medical,34.0,6132.0,2.0,No,17.0,No,3.0,0.0,10.0
1627,1001628,No,435.0,Mobile,40075.0,1,3,Medical,75.0,3346.0,4.0,Yes,20.0,Yes,2.0,1.0,9.0
1628,1001629,No,300.0,Mobile,22050.0,1,4,Entertainment,67.0,10855.0,7.0,No,11.0,No,1.0,1.0,15.0
1629,1001630,No,255.0,Mobile,10605.0,1,4,Entertainment,75.0,2231.0,6.0,No,18.0,No,4.0,1.0,6.0
1632,1001633,No,210.0,Mobile,15400.0,21,3,Medical,42.0,2713.0,1.0,No,11.0,No,3.0,1.0,5.0
1635,1001636,No,375.0,Mobile,50820.0,11,3,Financial,53.0,16575.125,3.0,No,15.0,No,2.0,0.0,21.0
1636,1001637,No,307.0,Mobile,16275.0,14,3,Financial,56.0,2451.0,4.0,No,12.0,No,1.0,1.0,13.0
1637,1001638,No,225.0,Mobile,46865.0,1,3,Financial,41.0,9419.0,2.0,No,12.0,No,3.0,1.0,12.0
1638,1001639,No,285.0,Mobile,24570.0,1,4,Financial,59.0,8686.0,4.0,No,22.0,Yes,3.0,0.0,12.0
1640,1001641,No,202.0,Mobile,40495.0,17,3,Entertainment,51.0,3058.0,0.0,Yes,16.0,No,4.0,1.0,6.0
1642,1001643,No,270.0,Mobile,51800.0,1,2,Medical,3.0,2088.0,4.0,No,12.0,No,3.0,0.0,13.0
1643,1001644,No,225.0,Mobile,3885.0,1,3,Medical,66.0,3072.0,1.0,No,11.0,No,3.0,2.0,12.0
1646,1001647,No,247.0,Mobile,4690.0,1,3,Financial,90.0,2500.0,0.0,No,14.0,No,1.0,0.0,4.0
1648,1001649,No,345.0,Mobile,18410.0,1,2,Entertainment,92.0,10453.0,1.0,No,25.0,Yes,3.0,3.0,24.0
1649,1001650,No,285.0,Mobile,48300.0,1,2,Financial,75.0,2288.0,1.0,No,12.0,No,3.0,0.0,2.0
1650,1001651,No,232.0,Mobile,4900.0,12,1,Medical,95.0,3929.0,8.0,Yes,23.0,Yes,3.0,1.0,7.0
1651,1001652,No,255.0,Mobile,22015.0,27,2,Medical,95.0,2311.0,2.0,No,15.0,No,4.0,0.0,9.0
1652,1001653,Yes,307.0,Mobile,47460.0,20,2,Entertainment,70.0,3140.0,1.0,Yes,22.0,Yes,4.0,0.0,4.0
1653,1001654,No,375.0,Mobile,11480.0,1,3,Medical,86.0,3690.0,2.0,No,15.0,No,4.0,1.0,5.0
1654,1001655,No,397.0,Mobile,37940.0,13,2,Medical,57.0,4450.0,1.0,No,11.0,No,3.0,2.0,5.0
1655,1001656,No,247.0,Mobile,32585.0,14,3,Medical,72.0,2756.0,1.0,No,13.0,No,4.0,1.0,8.0
1659,1001660,No,382.0,Mobile,10955.0,1,3,Medical,98.0,13734.0,3.0,No,18.0,No,3.0,0.0,21.0
1661,1001662,No,202.0,Mobile,31290.0,1,3,Medical,99.0,2279.0,1.0,No,16.0,No,4.0,0.0,7.0
1662,1001663,Yes,262.0,Mobile,19460.0,23,2,Financial,50.0,5916.0,3.0,Yes,13.0,No,1.0,0.0,8.0
1663,1001664,No,322.0,Mobile,47040.0,1,3,Medical,37.0,2089.0,4.0,No,14.0,No,4.0,3.0,7.0
1668,1001669,No,285.0,Mobile,44135.0,1,4,Financial,88.0,6553.0,9.0,No,14.0,No,2.0,0.0,14.0
1669,1001670,No,285.0,Mobile,37940.0,29,3,Entertainment,54.0,6261.0,3.0,No,18.0,No,1.0,1.0,9.0
1670,1001671,No,202.0,Mobile,16520.0,1,1,Entertainment,60.0,4298.0,5.0,No,19.0,No,3.0,1.0,6.0
1671,1001672,No,367.0,Mobile,35070.0,18,4,Financial,92.0,6804.0,1.0,Yes,15.0,No,1.0,2.0,7.0
1672,1001673,No,255.0,Mobile,30730.0,10,4,Medical,43.0,3815.0,1.0,Yes,17.0,No,4.0,1.0,5.0
1673,1001674,No,300.0,Mobile,31675.0,19,2,Medical,99.0,2741.0,8.0,Yes,15.0,No,3.0,1.0,15.0
1674,1001675,Yes,285.0,Mobile,41300.0,29,1,Medical,70.0,6673.0,7.0,Yes,19.0,No,2.0,0.0,17.0
1675,1001676,Yes,217.0,Mobile,4235.0,27,3,Entertainment,35.0,7639.0,1.0,No,22.0,Yes,4.0,3.0,10.0
1676,1001677,No,165.0,Mobile,39760.0,1,3,Financial,60.0,2328.0,1.0,Yes,16.0,No,1.0,1.0,4.0
1677,1001678,No,270.0,Mobile,22225.0,18,1,Medical,73.0,2153.0,1.0,No,13.0,No,1.0,0.0,8.0
1678,1001679,No,300.0,Mobile,40285.0,1,5,Financial,63.0,4876.0,9.0,No,14.0,No,4.0,1.0,5.0
1679,1001680,No,345.0,Mobile,22540.0,1,4,Medical,97.0,9396.0,7.0,No,16.0,No,3.0,1.0,17.0
1683,1001684,No,382.0,Mobile,51415.0,1,4,Financial,81.0,12490.0,5.0,No,16.0,No,4.0,2.0,16.0
1684,1001685,Yes,225.0,Mobile,35175.0,1,3,Entertainment,88.0,2657.0,5.0,Yes,11.0,No,3.0,0.0,8.0
1685,1001686,No,307.0,Mobile,31360.0,1,3,Financial,75.0,13591.0,3.0,Yes,18.0,No,3.0,0.0,16.0
1687,1001688,Yes,217.0,Mobile,34720.0,1,3,Entertainment,85.0,2058.0,0.0,No,14.0,No,4.0,0.0,7.0
1689,1001690,No,405.0,Mobile,40145.0,1,3,Entertainment,52.0,5940.0,2.0,No,14.0,No,4.0,1.0,16.0
1690,1001691,No,270.0,Mobile,48860.0,1,2,Financial,62.0,5914.0,8.0,No,16.0,No,4.0,0.0,16.0
1691,1001692,No,247.0,Mobile,5145.0,1,4,Medical,47.0,2622.0,6.0,No,21.0,Yes,4.0,0.0,7.0
1692,1001693,No,277.0,Mobile,23205.0,11,3,Other,47.0,12185.0,1.0,Yes,14.0,No,3.0,3.0,10.0
1693,1001694,No,285.0,Mobile,4165.0,1,3,Financial,76.0,10609.0,0.0,No,12.0,No,3.0,2.0,17.0
1694,1001695,No,232.0,Mobile,34265.0,1,4,Medical,90.0,4345.0,0.0,No,12.0,No,4.0,1.0,6.0
1696,1001697,No,277.0,Mobile,11165.0,1,4,Entertainment,41.0,2793.0,4.0,No,17.0,No,3.0,1.0,13.0
1698,1001699,No,262.0,Mobile,33040.0,1,3,Entertainment,92.0,8789.0,1.0,No,14.0,No,1.0,0.0,10.0
1699,1001700,Yes,217.0,Mobile,31360.0,18,1,Medical,86.0,2389.0,1.0,Yes,13.0,No,3.0,0.0,4.0
1703,1001704,No,375.0,Mobile,29890.0,1,4,Medical,68.0,16575.125,3.0,No,11.0,No,3.0,1.0,32.0
1709,1001710,Yes,240.0,Mobile,18025.0,1,3,Financial,62.0,3730.0,0.0,Yes,14.0,No,4.0,0.0,4.0
1710,1001711,No,292.0,Mobile,50085.0,1,4,Medical,96.0,2232.0,7.0,No,14.0,No,3.0,3.0,7.0
1711,1001712,No,240.0,Mobile,34160.0,26,4,Entertainment,100.0,4465.0,0.0,No,18.0,No,1.0,0.0,4.0
1712,1001713,No,307.0,Mobile,49385.0,19,2,Financial,36.0,3072.0,2.0,No,16.0,No,1.0,2.0,17.0
1715,1001716,No,232.0,Mobile,46445.0,1,4,Medical,73.0,13675.0,9.0,No,12.0,No,1.0,1.0,9.0
1716,1001717,No,247.0,Mobile,29120.0,1,4,Financial,63.0,2911.0,1.0,No,13.0,No,3.0,1.0,2.0
1717,1001718,No,255.0,Mobile,16450.0,1,4,Financial,84.0,5957.0,6.0,No,13.0,No,2.0,1.0,13.0
1718,1001719,No,277.0,Mobile,35595.0,1,2,Medical,83.0,3920.0,2.0,No,14.0,No,1.0,1.0,17.0
1720,1001721,Yes,277.0,Mobile,17640.0,10,3,Medical,61.0,10048.0,6.0,No,11.0,No,2.0,2.0,17.0
1721,1001722,No,292.0,Mobile,17675.0,1,4,Entertainment,64.0,10938.0,0.0,No,25.0,Yes,4.0,0.0,20.0
1722,1001723,No,217.0,Mobile,23275.0,15,3,Financial,60.0,2340.0,1.0,No,19.0,No,1.0,0.0,6.0
1724,1001725,No,217.0,Mobile,43645.0,20,2,Entertainment,45.0,6931.0,2.0,No,14.0,No,4.0,1.0,10.0
1725,1001726,No,187.0,Mobile,23975.0,1,3,Financial,62.0,4898.0,0.0,No,12.0,No,4.0,2.0,5.0
1727,1001728,No,300.0,Mobile,49560.0,1,2,Medical,49.0,16575.125,0.0,No,19.0,No,4.0,1.0,22.0
1728,1001729,No,382.0,Mobile,29155.0,1,3,Financial,96.0,2723.0,1.0,No,11.0,No,2.0,0.0,1.0
1731,1001732,No,285.0,Mobile,46445.0,1,2,Financial,39.0,5249.0,3.0,No,18.0,No,4.0,1.0,13.0
1732,1001733,No,240.0,Mobile,4480.0,1,1,Entertainment,84.0,2176.0,4.0,No,13.0,No,4.0,0.0,9.0
1733,1001734,No,345.0,Mobile,17080.0,1,3,Entertainment,75.0,16575.125,3.0,Yes,12.0,No,2.0,1.0,28.0
1734,1001735,Yes,210.0,Mobile,18515.0,1,4,Financial,79.0,3485.0,2.0,No,11.0,No,3.0,0.0,5.0
1735,1001736,No,217.0,Mobile,42350.0,1,3,Medical,78.0,6644.0,2.0,No,19.0,No,2.0,2.0,10.0
